성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
F,10대,가전/가구,12,12
F,10대,가정생활/서비스,6,9
F,10대,교육/학원,8,6
F,10대,미용,11,11
F,10대,스포츠/문화/레저,4,4
F,10대,여행/교통,10,7
F,10대,요식/유흥,1,1
F,10대,유통,2,3
F,10대,음/식료품,5,10
F,10대,의료,9,8
F,10대,의류/잡화,7,5
F,10대,자동차,13,14
F,10대,전자상거래,3,2
F,10대,주유,14,13
F,20대,가전/가구,13,9
F,20대,가정생활/서비스,6,5
F,20대,교육/학원,10,10
F,20대,미용,11,11
F,20대,스포츠/문화/레저,7,7
F,20대,여행/교통,4,8
F,20대,요식/유흥,1,2
F,20대,유통,2,3
F,20대,음/식료품,8,12
F,20대,의료,5,4
F,20대,의류/잡화,9,6
F,20대,자동차,14,13
F,20대,전자상거래,3,1
F,20대,주유,12,14
F,30대,가전/가구,14,7
F,30대,가정생활/서비스,5,5
F,30대,교육/학원,11,6
F,30대,미용,12,13
F,30대,스포츠/문화/레저,8,9
F,30대,여행/교통,7,11
F,30대,요식/유흥,3,3
F,30대,유통,2,2
F,30대,음/식료품,6,10
F,30대,의료,4,4
F,30대,의류/잡화,9,8
F,30대,자동차,13,12
F,30대,전자상거래,1,1
F,30대,주유,10,14
F,40대,가전/가구,13,7
F,40대,가정생활/서비스,4,4
F,40대,교육/학원,7,3
F,40대,미용,12,13
F,40대,스포츠/문화/레저,8,9
F,40대,여행/교통,10,14
F,40대,요식/유흥,3,6
F,40대,유통,1,2
F,40대,음/식료품,5,8
F,40대,의료,6,5
F,40대,의류/잡화,11,10
F,40대,자동차,14,11
F,40대,전자상거래,2,1
F,40대,주유,9,12
F,50대,가전/가구,14,7
F,50대,가정생활/서비스,5,3
F,50대,교육/학원,12,8
F,50대,미용,10,13
F,50대,스포츠/문화/레저,8,9
F,50대,여행/교통,11,14
F,50대,요식/유흥,2,5
F,50대,유통,1,2
F,50대,음/식료품,4,6
F,50대,의료,6,4
