가맹점주소광역시도,가맹점주소시군구,업종대분류,기준일자,고객주소집계구별,카드이용금액계,카드이용건수계
서울,성북구,주유,20190106,1108064020003,837199,25
서울,동대문구,유통,20190126,1110055030015,42840,10
서울,동작구,여행/교통,20190105,1105053010011,92232,20
경기,성남시,전자상거래,20190104,1103073030101,56045,5
강원,,요식/유흥,20190101,1111060040302,138600,10
경기,성남시,가정생활/서비스,20190111,1108071030004,3343536,20
서울,강남구,가정생활/서비스,20190115,1106081140001,126000,10
서울,구로구,유통,20190108,1119067030004,65117,15
경기,안양시,유통,20190118,1114061030101,68544,10
서울,구로구,유통,20190101,1119067030005,934668,15
서울,중구,전자상거래,20190122,1121065020011,880942,20
서울,성동구,요식/유흥,20190107,1107060030008,156240,15
서울,마포구,유통,20190117,1114075010206,797429,76
