,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
0,강남구,F,10대,가전/가구,12.0,12.0
1,강남구,F,10대,가정생활/서비스,7.0,7.0
2,강남구,F,10대,교육/학원,8.0,8.0
3,강남구,F,10대,미용,11.0,9.0
4,강남구,F,10대,스포츠/문화/레저,3.0,4.0
5,강남구,F,10대,여행/교통,10.0,6.0
6,강남구,F,10대,요식/유흥,1.0,1.0
7,강남구,F,10대,유통,2.0,3.0
8,강남구,F,10대,음/식료품,5.0,11.0
9,강남구,F,10대,의료,9.0,10.0
10,강남구,F,10대,의류/잡화,6.0,5.0
11,강남구,F,10대,자동차,14.0,14.0
12,강남구,F,10대,전자상거래,4.0,2.0
13,강남구,F,10대,주유,13.0,13.0
14,강남구,F,20대,가전/가구,12.0,10.0
15,강남구,F,20대,가정생활/서비스,5.0,5.0
16,강남구,F,20대,교육/학원,11.0,12.0
17,강남구,F,20대,미용,10.0,9.0
18,강남구,F,20대,스포츠/문화/레저,6.0,8.0
19,강남구,F,20대,여행/교통,4.0,7.0
20,강남구,F,20대,요식/유흥,1.0,2.0
21,강남구,F,20대,유통,2.0,3.0
22,강남구,F,20대,음/식료품,9.0,11.0
23,강남구,F,20대,의료,7.0,4.0
24,강남구,F,20대,의류/잡화,8.0,6.0
25,강남구,F,20대,자동차,14.0,14.0
26,강남구,F,20대,전자상거래,3.0,1.0
27,강남구,F,20대,주유,13.0,13.0
28,강남구,F,30대,가전/가구,14.0,12.0
29,강남구,F,30대,가정생활/서비스,5.0,5.0
30,강남구,F,30대,교육/학원,12.0,8.0
31,강남구,F,30대,미용,10.0,10.0
32,강남구,F,30대,스포츠/문화/레저,7.0,9.0
33,강남구,F,30대,여행/교통,6.0,6.0
34,강남구,F,30대,요식/유흥,1.0,3.0
35,강남구,F,30대,유통,2.0,2.0
36,강남구,F,30대,음/식료품,9.0,13.0
37,강남구,F,30대,의료,4.0,4.0
38,강남구,F,30대,의류/잡화,8.0,7.0
39,강남구,F,30대,자동차,13.0,14.0
40,강남구,F,30대,전자상거래,3.0,1.0
41,강남구,F,30대,주유,11.0,11.0
42,강남구,F,40대,가전/가구,14.0,11.0
43,강남구,F,40대,가정생활/서비스,5.0,5.0
44,강남구,F,40대,교육/학원,10.0,6.0
45,강남구,F,40대,미용,12.0,10.0
46,강남구,F,40대,스포츠/문화/레저,6.0,8.0
47,강남구,F,40대,여행/교통,8.0,7.0
